time,signal,drowsiness,delta,theta,alpha,beta
19:45:35,15,2,8,5,8,26
19:45:35,15,0,3,4,9,44
19:45:36,15,0,19,4,6,35
19:45:36,15,0,18,2,11,35
19:45:38,15,3,13,6,7,26
19:45:39,15,0,5,3,10,35
19:45:39,15,0,12,1,7,44
19:45:40,15,0,6,3,5,52
19:45:41,15,0,12,6,6,50
19:45:41,15,0,29,1,5,20
19:45:42,15,0,10,1,12,31
19:45:42,15,0,8,5,4,48
19:45:43,15,0,9,3,2,26
19:45:44,15,0,5,4,8,37
19:45:44,15,0,37,2,5,22
19:45:45,15,0,8,6,15,54
19:45:46,15,2,13,5,13,32
19:45:46,15,0,10,2,12,28
19:45:47,15,0,15,2,4,25
19:45:48,15,0,11,5,3,34
19:45:48,15,0,8,6,5,37
19:45:49,15,0,14,3,11,43
19:45:49,15,0,10,5,7,47
19:45:50,15,0,23,7,5,35
19:45:51,15,0,5,2,15,39
19:45:51,15,0,8,1,6,39
19:45:52,15,0,5,3,5,39
19:45:53,15,0,5,5,5,39
19:45:54,15,1,7,8,9,38
19:45:55,15,0,17,4,5,42
19:45:56,15,3,18,5,4,19
19:45:56,15,0,4,2,8,41
19:45:57,15,0,11,2,1,49
19:45:58,15,0,10,5,1,56
19:45:58,15,0,11,2,9,48
19:45:59,15,0,10,5,3,56
19:45:59,15,0,7,3,10,42
19:46:00,15,0,4,8,6,49
19:46:01,15,0,5,4,5,41
19:46:01,15,3,21,7,7,27
19:46:02,15,0,13,6,5,60
19:46:03,15,0,5,2,16,50
19:46:03,15,0,7,4,4,43
19:46:04,15,0,9,3,9,41
19:46:04,15,0,6,4,6,31
19:46:05,15,0,7,1,6,28
19:46:06,15,0,15,2,13,39
19:46:06,15,0,15,3,10,31
19:46:07,15,0,22,3,4,34
19:46:08,15,0,9,2,7,42
19:46:08,15,0,7,3,1,53
19:46:09,15,0,8,6,2,38
19:46:10,15,0,6,2,6,46
19:46:10,15,0,11,4,8,57
19:46:11,15,0,11,1,4,45
19:46:11,15,0,10,3,8,46
19:46:12,15,0,15,6,3,32
19:46:13,15,0,2,3,17,37
19:46:13,15,0,6,4,7,37
19:46:14,15,1,9,5,6,25
19:46:15,15,0,11,2,17,42
19:46:15,15,0,12,2,3,37
19:46:16,15,0,10,4,4,40
19:46:17,15,1,9,5,17,40
19:46:17,15,0,8,2,3,31
19:46:18,15,1,6,6,8,31
19:46:18,15,0,7,6,2,41
19:46:19,15,0,13,8,10,50
19:46:20,15,0,14,8,3,36
19:46:20,15,0,12,4,7,38
19:46:21,15,1,8,6,12,39
19:46:22,15,0,3,3,12,47
19:46:22,15,0,7,2,12,33
19:46:23,15,0,5,1,6,55
19:46:23,15,0,14,1,1,50
19:46:24,15,0,14,5,10,39
