timestamp,channel,sample_idx,value_uv
23:05:07.477,0013,5,-365.75
23:05:07.477,0013,6,25.65
23:05:07.477,0013,7,-468.825
23:05:07.477,0013,8,228.0
23:05:07.477,0013,9,670.225
23:05:07.477,0013,10,-325.85
23:05:07.477,0013,11,584.725
23:05:07.480,0013,0,-958.075
23:05:07.480,0013,1,-693.025
23:05:07.480,0013,2,763.8
23:05:07.480,0013,3,-972.325
23:05:07.480,0013,4,-971.375
23:05:07.480,0013,5,-485.925
23:05:07.480,0013,6,591.375
23:05:07.480,0013,7,-235.125
23:05:07.480,0013,8,205.2
23:05:07.480,0013,9,685.425
23:05:07.480,0013,10,-272.65
23:05:07.480,0013,11,587.1
23:05:07.609,0013,0,-958.075
23:05:07.609,0013,1,-693.025
23:05:07.609,0013,2,763.8
23:05:07.609,0013,3,-972.325
23:05:07.609,0013,4,-972.325
23:05:07.609,0013,5,-840.75
23:05:07.609,0013,6,-611.325
23:05:07.609,0013,7,738.625
23:05:07.609,0013,8,586.15
23:05:07.609,0013,9,-821.75
23:05:07.609,0013,10,304.95
23:05:07.609,0013,11,-86.45
23:05:07.613,0013,0,-958.075
23:05:07.613,0013,1,-693.025
23:05:07.613,0013,2,763.8
23:05:07.613,0013,3,-972.325
23:05:07.613,0013,4,-972.325
23:05:07.613,0013,5,-839.8
23:05:07.613,0013,6,-598.5
23:05:07.613,0013,7,-474.525
23:05:07.613,0013,8,-722.95
23:05:07.613,0013,9,-855.95
23:05:07.613,0013,10,904.4
23:05:07.613,0013,11,-388.55
23:05:07.732,0013,0,-958.075
23:05:07.732,0013,1,-571.425
23:05:07.732,0013,2,763.8
23:05:07.732,0013,3,-972.325
23:05:07.732,0013,4,-972.325
23:05:07.732,0013,5,-836.475
23:05:07.732,0013,6,767.125
23:05:07.732,0013,7,729.6
23:05:07.732,0013,8,-308.75
23:05:07.732,0013,9,-826.025
23:05:07.732,0013,10,-911.525
23:05:07.732,0013,11,629.85
23:05:07.735,0013,0,-958.075
23:05:07.735,0013,1,-571.425
23:05:07.735,0013,2,763.8
23:05:07.735,0013,3,-972.325
23:05:07.735,0013,4,-972.325
23:05:07.735,0013,5,-836.0
23:05:07.735,0013,6,-573.325
23:05:07.735,0013,7,-485.45
23:05:07.735,0013,8,-293.55
23:05:07.735,0013,9,-936.225
23:05:07.735,0013,10,61.75
23:05:07.735,0013,11,-770.45
23:05:07.867,0013,0,-958.075
23:05:07.867,0013,1,-571.425
23:05:07.867,0013,2,763.8
23:05:07.867,0013,3,-972.325
23:05:07.867,0013,4,-972.325
23:05:07.867,0013,5,-833.15
23:05:07.867,0013,6,-358.15
23:05:07.867,0013,7,-722.0
23:05:07.867,0013,8,509.675
23:05:07.867,0013,9,946.2
23:05:07.867,0013,10,-548.15
23:05:07.867,0013,11,-362.425
23:05:07.871,0013,0,-958.075
23:05:07.871,0013,1,-571.425
23:05:07.871,0013,2,763.8
23:05:07.871,0013,3,-972.325
23:05:07.871,0013,4,-972.325
23:05:07.871,0013,5,-832.2
23:05:07.871,0013,6,564.775
23:05:07.871,0013,7,861.65
23:05:07.871,0013,8,713.45
23:05:07.871,0013,9,-954.275
23:05:07.871,0013,10,304.475
23:05:07.871,0013,11,-198.55
23:05:07.968,0013,0,-958.075
23:05:07.968,0013,1,-571.425
23:05:07.968,0013,2,763.8
23:05:07.968,0013,3,-972.325
23:05:07.968,0013,4,-970.425
23:05:07.968,0013,5,-548.15
23:05:07.968,0013,6,-485.925
23:05:07.968,0013,7,-954.275
23:05:07.968,0013,8,-462.65
23:05:07.968,0013,9,-937.175
23:05:07.968,0013,10,-727.7
23:05:07.968,0013,11,-592.8
23:05:08.002,0013,0,-958.075
23:05:08.002,0013,1,-449.825
23:05:08.002,0013,2,763.8
23:05:08.002,0013,3,-972.325
23:05:08.002,0013,4,-971.375
23:05:08.002,0013,5,-481.175
23:05:08.002,0013,6,359.1
23:05:08.002,0013,7,368.125
23:05:08.002,0013,8,486.875
23:05:08.002,0013,9,-918.175
23:05:08.002,0013,10,92.15
23:05:08.002,0013,11,584.25
23:05:08.099,0013,0,-958.075
23:05:08.099,0013,1,-449.825
23:05:08.099,0013,2,763.8
23:05:08.099,0013,3,-972.325
23:05:08.099,0013,4,-972.325
23:05:08.099,0013,5,-825.55
23:05:08.099,0013,6,-760.475
23:05:08.099,0013,7,857.375
23:05:08.099,0013,8,-346.75
23:05:08.099,0013,9,-968.525
23:05:08.099,0013,10,-303.525
23:05:08.099,0013,11,-633.65
23:05:08.103,0013,0,-958.075
23:05:08.103,0013,1,-449.825
23:05:08.103,0013,2,763.8
23:05:08.103,0013,3,-972.325
23:05:08.103,0013,4,-970.9
23:05:08.103,0013,5,-47.5
23:05:08.103,0013,6,-33.25
23:05:08.103,0013,7,742.425
23:05:08.103,0013,8,707.275
23:05:08.103,0013,9,-839.8
23:05:08.103,0013,10,966.15
23:05:08.103,0013,11,29.45
23:05:08.159,0013,0,-958.075
23:05:08.159,0013,1,-449.825
23:05:08.159,0013,2,763.8
23:05:08.159,0013,3,-972.325
23:05:08.159,0013,4,-972.325
23:05:08.159,0013,5,-822.225
23:05:08.159,0013,6,-102.125
23:05:08.159,0013,7,-471.675
23:05:08.159,0013,8,135.375
23:05:08.159,0013,9,936.225
23:05:08.159,0013,10,-912.95
23:05:08.159,0013,11,-10.925
23:05:08.233,0013,0,-958.075
23:05:08.233,0013,1,-328.225
23:05:08.233,0013,2,763.8
23:05:08.233,0013,3,-972.325
23:05:08.233,0013,4,-971.375
23:05:08.233,0013,5,-478.8
23:05:08.233,0013,6,463.6
23:05:08.233,0013,7,-607.05
23:05:08.233,0013,8,820.8
23:05:08.233,0013,9,852.625
23:05:08.233,0013,10,-90.25
23:05:08.233,0013,11,498.75
23:05:08.265,0013,0,-958.075
23:05:08.265,0013,1,-328.225
23:05:08.265,0013,2,763.8
23:05:08.265,0013,3,-972.325
23:05:08.265,0013,4,-972.325
23:05:08.265,0013,5,-819.375
23:05:08.265,0013,6,-332.5
23:05:08.265,0013,7,-727.7
23:05:08.265,0013,8,-114.95
23:05:08.265,0013,9,-957.125
23:05:08.265,0013,10,304.0
23:05:08.265,0013,11,323.95
23:05:08.341,0013,0,-958.075
23:05:08.341,0013,1,-328.225
23:05:08.341,0013,2,763.8
23:05:08.341,0013,3,-972.325
23:05:08.341,0013,4,-970.9
23:05:08.341,0013,5,-46.075
23:05:08.341,0013,6,-104.975
23:05:08.341,0013,7,-601.35
23:05:08.341,0013,8,517.275
23:05:08.341,0013,9,-801.325
23:05:08.341,0013,10,958.075
23:05:08.341,0013,11,-700.15
23:05:08.372,0013,0,-958.075
23:05:08.372,0013,1,-328.225
23:05:08.372,0013,2,763.8
23:05:08.372,0013,3,-972.325
23:05:08.372,0013,4,-972.325
23:05:08.372,0013,5,-816.05
23:05:08.372,0013,6,-803.7
23:05:08.372,0013,7,617.5
23:05:08.372,0013,8,-516.325
23:05:08.372,0013,9,858.8
23:05:08.372,0013,10,797.525
23:05:08.372,0013,11,488.775
23:05:08.482,0013,0,-958.075
23:05:08.482,0013,1,-328.225
23:05:08.482,0013,2,763.8
23:05:08.482,0013,3,-972.325
23:05:08.482,0013,4,-970.9
23:05:08.482,0013,5,-45.125
23:05:08.482,0013,6,194.275
23:05:08.482,0013,7,258.4
23:05:08.482,0013,8,167.675
23:05:08.482,0013,9,-753.35
23:05:08.482,0013,10,963.3
23:05:08.482,0013,11,28.975
23:05:08.485,0013,0,-958.075
23:05:08.485,0013,1,-328.225
23:05:08.485,0013,2,763.8
23:05:08.485,0013,3,-972.325
23:05:08.485,0013,4,-972.325
23:05:08.485,0013,5,-812.25
23:05:08.485,0013,6,-568.1
23:05:08.485,0013,7,-832.2
23:05:08.485,0013,8,-456.95
23:05:08.485,0013,9,-923.875
23:05:08.485,0013,10,-667.85
23:05:08.485,0013,11,411.35
23:05:08.602,0013,0,-958.075
23:05:08.602,0013,1,-206.625
23:05:08.602,0013,2,763.8
23:05:08.602,0013,3,-972.325
23:05:08.602,0013,4,-970.9
23:05:08.602,0013,5,-44.175
23:05:08.602,0013,6,-623.2
23:05:08.602,0013,7,612.75
23:05:08.602,0013,8,-197.125
23:05:08.602,0013,9,-734.35
23:05:08.602,0013,10,964.725
23:05:08.602,0013,11,880.175
23:05:08.610,0013,0,-958.075
23:05:08.610,0013,1,-206.625
23:05:08.610,0013,2,763.8
23:05:08.610,0013,3,-972.325
23:05:08.610,0013,4,-972.325
23:05:08.610,0013,5,-808.45
23:05:08.610,0013,6,119.225
23:05:08.610,0013,7,8.075
23:05:08.610,0013,8,766.175
23:05:08.610,0013,9,734.35
23:05:08.610,0013,10,-667.85
23:05:08.610,0013,11,-911.05
23:05:08.733,0013,0,-958.075
23:05:08.733,0013,1,-206.625
23:05:08.733,0013,2,763.8
23:05:08.733,0013,3,-972.325
23:05:08.733,0013,4,-970.9
23:05:08.733,0013,5,-43.225
23:05:08.733,0013,6,-323.475
23:05:08.733,0013,7,-473.1
23:05:08.733,0013,8,-394.725
23:05:08.733,0013,9,-788.975
23:05:08.733,0013,10,963.3
23:05:08.733,0013,11,150.575
23:05:08.737,0013,0,-958.075
23:05:08.737,0013,1,-206.625
23:05:08.737,0013,2,763.8
23:05:08.737,0013,3,-972.325
23:05:08.737,0013,4,-972.325
23:05:08.737,0013,5,-805.125
23:05:08.737,0013,6,-712.5
23:05:08.737,0013,7,138.225
23:05:08.737,0013,8,686.85
23:05:08.737,0013,9,-856.425
23:05:08.737,0013,10,911.05
23:05:08.737,0013,11,114.475
23:05:08.856,0013,0,-958.075
23:05:08.856,0013,1,-85.025
23:05:08.856,0013,2,763.8
23:05:08.856,0013,3,-972.325
23:05:08.856,0013,4,-970.9
23:05:08.856,0013,5,-42.275
23:05:08.856,0013,6,812.25
23:05:08.856,0013,7,-240.825
23:05:08.856,0013,8,661.675
23:05:08.856,0013,9,-890.625
23:05:08.856,0013,10,960.925
23:05:08.856,0013,11,-579.025
23:05:08.890,0013,0,-958.075
23:05:08.890,0013,1,-85.025
23:05:08.890,0013,2,763.8
23:05:08.890,0013,3,-972.325
23:05:08.890,0013,4,-972.325
23:05:08.890,0013,5,-800.85
23:05:08.890,0013,6,654.55
23:05:08.890,0013,7,-722.475
23:05:08.890,0013,8,644.575
23:05:08.890,0013,9,958.075
23:05:08.890,0013,10,60.325
23:05:08.890,0013,11,-136.325
23:05:08.978,0013,0,-958.075
23:05:08.978,0013,1,-85.025
23:05:08.978,0013,2,763.8
23:05:08.978,0013,3,-972.325
23:05:08.978,0013,4,-971.375
23:05:08.978,0013,5,-472.15
23:05:08.978,0013,6,-311.6
23:05:08.978,0013,7,-355.3
23:05:08.978,0013,8,441.275
23:05:08.978,0013,9,-804.175
23:05:08.978,0013,10,168.15
23:05:08.978,0013,11,585.675
23:05:08.981,0013,0,-958.075
23:05:08.981,0013,1,-85.025
23:05:08.981,0013,2,763.8
23:05:08.981,0013,3,-972.325
23:05:08.981,0013,4,-972.325
23:05:08.981,0013,5,-798.0
23:05:08.981,0013,6,798.95
23:05:08.981,0013,7,257.45
